Page,Romanized Chakma,pos,English translation
1,A,Prefix,"Indicates negation, opposition, or various negative prefixes (un-, in-, dis-, etc.)"
1,Akadā,n,Filthy language; indecent speak; non-utterance.
1,Akadāy,a,In filthy language; indecent; unspeakable.
1,Akadākanā,v,Abuse; speak indecently.
1,Akadākani,a,Uttering filthy language; abuse.
1,Akta,a,Proper time; appropriate season.
1,Aktat,ad,In time.
1,Akte-akte,ad,Time to time; occasionally.
1,Aktobar,n,October (The month of the English Calendar).
1,Akabālyā,a,Unfortunate; unlucky.
1,Aksā,a,Swollen; expanded.
1,Aksā ahnā,v,Swell; expand.
1,Akām,n,Bad act; misdeed; improper action.
1,Akāmar,a,Worthless; useless; good for nothing; inactive.
1,Akāl,n,Bad season; scarcity; famine.
1,Akār,n,Vowel.
1,Ak āran,a,Unnecessary; causeless.
1,Ak ārane,ad,For nothing; unreasonably; needlessly.
1,Ak ābil,a,Incompetent; unskilled.
1,Akālyā,a,Out of season; untimely; premature.
1,Ak ālyā buro,a,Prematurely old; premature.
1,Akāle,ad,Untimely; out of season; before time.
1,Akāle Pākyā,a,Prematurely ripen.
1,Akālemaran,n,Untimely or premature death.
1,Akul,a,Shoreless; vast; boundless.
1,Akritagyo,a,Ungratefulness.
1,Akhanjan,a,Conclusive; incontrovertible; infrangible.
1,Akkhar,n,Letter (of alphabet); syllable.
1,Akkhar-bāncityā,n,Compositor.
1,Akkhar bānyā,a,Recorded; written.
1,Akkharmālā,n,Alphabet; series of letters.
1,Akkhay,a,Undecaying; eternal; undying.
1,Aggyān,a,Senseless; ignorant; unconscious.
1,Agamān,n,Insult; disgrace; dishonour.
1,Agamān-gārānā,v,Insult.
1,Agamāngasyā,a,Insulted.
1,Agamānar,a,Insulted; insulting; disgraceful.
1,Agal,vt,To vomit.
1,Agalak,a / n,Talkative; garrulous; willy; humorous / Chatterbox.
1,Agal-bagal,n,Lanes and by-lanes.
2,Aglānā,v,Vomit.
2,Agalāni,n,Vomiting.
2,Agalyā,a,Vomited.
2,Agandi,a,Uncounted; countless; innumerable.
2,Agadānā,v,Pare; open; peel; scrape; shave off.
2,Agadāni,n,Peeling; scraping; opening; paring.
2,Agadeyā,a,Pared; peeled; scraped.
2,Agunar,a,Worthless; defective.
2,Agun,n,Bad quality; defect; fault.
2,Aghadan,a,Unusual; not likely to occur.
2,Aghadan-gadanā,n,Impossible or unusual event; unexpected occurrence.
2,Aghadanar,a,Not likely; improbable.
2,"Agh ā, ahghā",a,Dump [Dumb]; stupid; foolish.
2,Agh āgujor,a,Foolish and simple; dull witted.
2,Aghur,a,Formidable; terrible; deep; profound; too much.
2,Aghur gari,ad,Deeply or profoundly; unconsciously.
2,Anka,n,Mark; mathematics; number; figure.
2,Ankagarānā,v,Do or work out a sum; calculate.
2,Ankabidyb ā,n,Mathematics; science of numbers.
2,Anga,n,Limp [Limb]; body; form; feature; item.
2,Angi,n,Woman; woman of beautiful limps [limbs].
2,Achal,a,Immovable; motionless; obsolete; firm; paralysis.
2,Achalan,n,Being out of use; obsoleteness.
2,Achin,a,Unknown.
2,Ajan,n,Weight; measure; dignity.
2,Ajanbārā,a,Indignity; indignant.
2,Ajanyā,a,As per necessity.
2,Ajani,a,Necessity; needful; weighty; useful.
2,"Ajat, ajar, ajade",ad / a,Really; actually / Real; original; genuine.
2,Ajatyā,a,Going out over or above anything.
2,Ajabane,a,Certainly; fortunately.
2,Ajaba,n,Lung; liver.
2,Ajabā,a,Obscene; indecent; wanton.
2,Ajabābhāsh,n,Abusive or filthy language.
2,Ajamarah,n,Ill tempered; peevish.
2,Ajamane,a,By good luck.
2,Ajaba-jalani,n,Pneumonia.
2,Ajadānā,n,Favour; compassion.
2,Ajal,a,High; tall; elevated.
2,Ajalat,ad,On the high; above.
2,Ajalneejo,a,High and low; uneven.
2,Ajā,n,Pestle of a husking pedal.
2,Ajāgā,n,Private part; secret place; bad place.
2,Ajāt,n,Unborn; of low caste; illegitimate.
2,"Ajānā, ajāndā",a,Unknown; unacquainted.
3,"Ajānāt, ajāndāt",ad,Unknowingly; unwittingly.
3,Ajābin,n,Unrully [Unruly]; rude.
3,Ajiren,a,Unceasing; constant; continuous.
3,Ajirendi,ad / a,Continuously / Without break.
3,"Ajit, ajity ā",a,Unconquered; unbeaten.
3,Ajeeb,n,Non-living organ.
3,Ajeaj,a,Real; original; nett; exact; accurate; right.
3,"Ajhak-kajhak, Ajhak kalak",a,Thrown about; wasted.
3,Ajhā,n,Village woman serving as nurse during delivery.
3,Ajhār,n,Spreading; extension.
3,Ajh ārgarānā,v,Spread; wide; extend; relaxe [relax].
3,Ajhāburhee,n,Midwife
3,Attājee,n,Eighty-eight; 88.
3,Atāl,a,Numerous; many; much.
3,Atitti,ad,For time being.
3,Aty āchār,n,Outrage; oppression.
3,Atyāchārgarānā,v,Oppress.
3,Athān,n,Bad place.
3,Athāyee,a,Not lasting; temporary; restless; uneasy.
3,Athidi,a,Same as Athāyee
3,Athir,a,Same as Athāyee
3,Athircheet,a,Fricle [Fickle] minded; whimsical.
3,Athidimi,n,Unrest; uncertainity; instability.
3,Adak,n,Covering basket for domestic birds or hens.
3,"Adacha, athacha",ind,Yet; but; still; rather.
3,Adar,a,In really; genuin [genuine]; pure.
3,"Adar, atte",ad,Even; without any reason.
3,Adarat,ad,Actually; really.
3,Ad-da,a,Half; semi; part of a thing.
3,Ad-dat,ad,Partly.
3,Ad-dek,n,A half portion; a half.
3,Ad-daram,n,Inferior to do anything.
3,Adal badal,n,Exchange; interchange; modification.
3,Ad-danga,a,Incomplete; n. incompletion.
3,"Adang garala, adang karala",a,Ferocious; terrific; fool hardy; reckless.
3,Adin,n,Inauspicious day; bad day; hard day.
3,Adinat,ad,In distress day; on evil day; on unsuitable day.
3,Adinyā,ad,In distress day; on evil day; on unsuitable day.
3,Adeghā,a,Unseen; out of sight; invisible.
3,Adeghā-ahnāj,v,Vanish; go out of sight.
3,Adharma,n,Irreligion; injustice.
3,Adhagaja,a,Cracked.
3,Adhā,ad / a,Indeed; really / Neither dry nor wet; neither hot nor cold.
3,"Adāmeek, adarmeetyo",a,Impious; irreligious; sinful.
3,Adhikār,n,Authority; possession; right.
3,Adhikār garānā,vt,Occupy; possess.
4,Adhikāreej,n,Proprietor; possessor; authority.
4,Adheen,n,Subject; subordinate; dependent.
4,Anach,a,In no way; by no mean.
4,Anach pade,ad,Effectlessly; by no mean.
4,Anaj,a,Distress.
4,Anatan,a,Want; lack; insufficiency.
4,Anatidi,n,Disadvantage; drawback.
4,Anatityā,a,In difficulty; entangled.
4,"Anattak, anartak",a,Meaningless; useless. ad. untruely; uselessly.
4,Anasanah,a,Crazy; crack brained; foolish.
4,Andesande,a,Having some purpose or intention.
4,Ansur,a / ad,Continuous; often / continuously; always.
4,Anālar,a,Worthless; inactive.
4,Anālat,a,In distress; beyond link with communication; innavigable.
4,Anārjyo,n,Non-Aryan; low born; barbarian.
4,Anichchyā,a,Unwillingness; reluctance.
4,Anista,a,Harm; unjury [injury].
4,Anista-garānā,v,Harm; injure; strike.
4,Anistagariyā,n,Evildoer.
4,Anistabalā,a,Harmful; mischievous.
4,Anista-ahnā,a,Be harmed.
4,Aneeti,a,Immorality; careless.
4,Anumati,n,Permission; approval; consent; command; order; leave.
4,"Anumati garānā, denā",v,Permit; allow.
4,Anumatii-lanā,v,Take leave; take permission; take approval.
4,Anumati-patra,n,Licence [license]; permit; written permission.
4,Anumati-peiyā,a,Permitted; authorised.
4,Anumān,n,Guess; induction; supposition; hypothesis; inference.
4,Anumān garānā,v,Guess; concept.
4,"Anyānyo, anya",pro / a,Other; a another; other; different.
4,Anyakityā,ad,In another direction.
4,Anya gasyā,a,Done by another; done by others.
4,Anyakityāndi,ad,In another direction; to another place; elsewhere.
4,Anyadhage,ad,Otherwise; in a different manner.
4,Anya dhag,a,Contrary; different; of different kind.
4,Anya dhage-gasyā,a,Done otherwise; set aside.
4,"Anyaman, anyamanā",a,Inattentive; absent minded.
4,Anyamane,ad,Inattentively.
4,Anyabhāb,n,Change of feeling or attitude.
4,Anyabhābe,ad,In different way; otherwise.
5,Anyāy,n / a,Injustice; misdeed; wrong / unlawful; wrong; unjust.
5,Any āy-garānā,v,Act improperly; do a wrong.
5,Any āy gari,ad,Unjustly; wrongly.
5,Any āy-gariyā,n,Wrong doer.
5,Apabitra,a,Impure; profane.
5,Apabitra-garānā,v,Desecrate; profane; pollute.
5,Apabitrami,n,Impurity; unholiness.
5,Apar,a,Another; other; contrary.
5,Aparpakkha,n,Other side or party.
5,Aparpakkhe,ad,On the other hand; on the other side.
5,Aparādh,n / a,Offence [offense]; sin; fault; crime / [as adjective].
5,Apar ādh-garānā,v,Commit a crime.
5,Aparādhar,a,Criminal; offensive; guilty.
5,Apadh,a,Bad road; wrong way.
5,Aparādhee,a / n,Guilty; criminal / offender; guilty person.
5,Aparādheeni,n,Female offender.
5,Aparāpar,a,Other; all other.
5,Aparichita,a,Unknown; strange.
5,Aparichita Mānuj,n,Stranger.
5,Apuron,a,Shortage; non-fulfilment.
5,Apurā,a,Not full; incomplete.
5,Aprayajan,a,No require; unimportance.
5,Apriya,a,Unpleasant; disagreeable.
5,Apriyosatya,n,Unpleasant truth.
5,Afal,a / n,Barren; fruitless / A kind of fruits.
5,Afalā,a,Unfruitful.
5,Afājā,a,Bad character; immorality.
5,Afis,n,Office; place of business.
5,Afisār,n,Officer.
5,Afurandi,a,Endless; unending; boundless; unlimited.
5,Afelā,a,Superstition.
5,Abatār,n,Incarnation.
5,Abakbhak,a / ad,Over / Extremely full; brim up.
5,Abadal,a,Unchanging.
5,Abaruk,a,Unnatural; wonderful; marvelous.
5,Abalā,a,That side; opposite direction.
5,Abastā,n,State; condition; mood.
5,Abastā-balā,a,Rich; insolvent [likely means 'solvent' or 'well-off' in context].
5,Abahelā,n,Neglect; disregard.
5,Abahelā garānā,v,Neglect.
5,Abahelā-gari,ad,Carelessly; neglectfully.
5,Abahelā gasyā,a,Neglected.
5,Abādhya,n / a,Disobedient.
5,Abādhyami,a,Disobedience; dissubjacated.
5,Abāng,a,Entire; all; all over; elsewhere.
6,Abāng padhār,a,Scattered; spreaded.
6,Abāng pādhāri,ad,Unsystematic.
6,Abāng-pādhāri gari,ad,Unmethodically.
6,Abāng-pādhāri gasyā,a,At sixes and seven; disorderly.
6,Abikal,ad,Continuously; constantly.
6,Abijer,n,Injustice.
6,Abijer garānā,v,Do injustice.
6,Abijerar,a,Unjust.
6,Abijer gari,ad,Unjustly.
6,Abisches,n,Distrust; suspicion.
6,Abischesgarānā,v,Distrust; suspect.
6,Abischesar,a,Unfaithful; faithless.
6,"Abujh, abujho",n / a,Stupid; foolish; dull / mysterious; illigible [illegible].
6,Abelā,a,Improper time.
6,Abyay,n / a,Preposition / imperishable.
6,Abhadra,n / a,Uncivil; impolite; plebeian.
6,Abhadrāmi,a,Incivility; discourtesy.
6,Abhāgya,n,Ill-luck; misfortune.
6,Abhāgyatyā,a,Unlucky; misfortunate.
6,Abhāb,n,Want; need; shortage.
6,Abhāb-ghujanā,v,Satisfy one's want.
6,Abhāb-chhārani,a,Removal of want.
6,Abhāb-chhārānā,v,Remove one's want.
6,Abhābat,a,Needy; in want; indigent.
6,Abhāb-puron,v,Meet one's want.
6,Abhābmukto,a,Free from wants.
6,Abhāpyā,a,Unexpected.
6,Abhyās,n,Practice; habit.
6,Abhyās-garānā,v,Practise; exercise; learn.
6,Abhyās gasyā,a,Practised; habituated.
6,Amakada,a,Excess; more than one's want.
6,Amat,n,Objection; disagreement.
6,Amate,ad,Without one's consent.
6,Amakkhay,a,Eternal; undying.
6,Amar,a,Immortal; everlasting.
6,Amar-garānā,v,Immortalize.
6,Amar pudi,n,Fem. immortal girl.
6,Amarbānyā,a,Super-excellent.
6,Amarrejya,n,Heaven; paradise.
6,Amarātnā,n,Immortal spirit or soul.
6,Amanjug,n,Unwillingness.
6,Amarjadā,a,Indignity; disgrace.
6,Amā,ind,Ah! alas! oh!
7,Amānuj,n / a,Bad man; brute; inhuman / beastly.
7,Amānya,a,Disrespectful.
7,Amānyo-garānā,v,Disrespect; neglect; disregard; disobey.
7,Am ādhukhadā,ind,Sound of distress.
7,Amil,a,Dissident; discord; dissimilarity.
7,"Amil akkhar, amitor-akkhar",n,Rhymeless.
7,Amitor,n,Enimy [Enemy]; foe.
7,"Amijhel, amijheyā",a,Unmixed.
7,Amuk,a / n,Such; certain / the proname [pronoun] of a quotable man.
7,Amrita,a,Delicious; tasteful.
7,Ajhattan,n,Want of care; neglect.
7,Ajhattan-garānā,v,Neglect; incare.
7,Ajhattane-gasyā,a,Done without effort; carelessly.
7,Ajhattane,ad,Carelessly.
7,Ajhattanyā,a,Inactive; effortless.
7,Ajhattane-peiyā,a,Attained without effort.
7,Ajhadhā,a,Telling carelessly; unjustly.
7,Ajhadhāgari,ad,Improperly; indecently.
7,Ajhātrā,n,Inauspicious journey.
7,Ajhogya,a,Unfit; incompetent; worthless; disqualified.
7,Ajhogyami,n,Unfitness; disqualification.
7,Arājak,a,Without law and order.
7,Arājami,n,Anarchy; lawlessness.
7,Arāji,a,Unwilling.
7,Arājiahnā,v,Disagree.
7,Arale-chābānā,v,Choked or breath with difficulty during sleep; suffer in sleep.
7,Aralee,n,Poisonous ant.
7,Arsharug,n,Piles [Haemorrhoids].
7,Argandi,a,Average.
7,Ari,n,Enimy [Enemy]; foe.
7,Aruji,n,Want of appetite; bad taste; dislike; aversion.
7,Arujir,a,Distasteful; disgusting.
7,Artha,n,Mean [Meaning]; reason; wealth.
7,Artha-garānā,v,Explain.
7,Arthagarani,n,Explanation; meaning.
7,Arthagasyā,a,Explained.
7,Artha-biggyān,n,Political economy; economics.
7,Artha-biggyānee,n,Economist.
7,Artha bidyā,n,Economics.
7,Arthāt,ind,That is to say (i.e.); in other words.
7,Alankār,n,Ornament; glory and pride.
7,Alankār-gasyā,a,Adorned; ornamented; decorated.
7,Alar,a / n,Motionless; steady; restrained; pacified / silent; quiet; gentle; calm.
7,Alar garānā,v,Pacify; subjugate.
7,Alar ahnā,v,Be quiet.
8,Alargujor,a,Of a gentle nature.
8,Alānah,v,Get down anything from the stove.
8,Alābh,n / a,Unprofit / unprofitable.
8,Ali,n,Rhyme; lullaby.
8,Alokkhee,n,Calamity; Goddess of misfortune; sinister woman or girl.
8,Ashānti,n,Disturbance; disorder.
8,Ashikkhita,n,Uneducated; illiterate; barbarian.
8,Ashikkhā,a,Improper education.
8,Ashibil,a,Uncivil; wicked.
8,"Ashichi, asiji",a,Unholy; impure.
8,Ashee,n,Sword.
8,Ashuddha,a,Impure; wrong.
8,Ashud-dhami,ad,Impurity.
8,Ashubha,a,Inauspicious.
8,Ashej,a / n / v,Endless; whole; unending; boundless / infinity / infinite.
8,Ashej ba-bade,ad,In a thousand ways; without finishing.
8,Asat,ad,Bad; unfair; unchaste; wicked; villiant(n) [villainous].
8,"Asat-kām, asat-kārbār",a,Dishonest act; misdeed; crime.
8,Asatee,n,fem. Unchaste.
8,Asatya,a / n,Untrue; false / untruth; falsehood.
8,Asatyar,a,Lying; of lying.
8,Asatsallā,n,Bad counceal [counsel]; evil advice.
8,Asambha,ad,Too much; great.
8,Asambachcha,a,Want of means; inconsistency; shortage; insufficiency.
8,Asambhab,a,Impossible; unlikely.
8,Asabhya,a,Uncivilized; uncultured; unsocial.
8,Asabhyami,n,Barbarity; incivility.
8,Asang,a,Unequal; uneven; rough; curved.
8,Asanguā,n,Not match for.
8,Asamay,n,Improper or inopportune time.
8,Asamaye,ad,Untimely.
8,Asammān,n,Dishonour; disgrace.
8,Asammānar,a,Disgraceful; insulting.
8,Asammān-garānā,v,Disgrace; dishonour; insult.
8,Asammān-gasyā,a,Dishonoured; insulted; disgraced.
8,Asajhyo,a,Impatient; unbearable; intolerable.
8,Asajyo-garānā,v,Intolerate [Intolerant]; inbear [unbearable]; impatient.
8,Asahajhog,n,Non-co-operation.
8,Asahajhog garānā,v,Non-co-operate.
8,Asahajhog garsyā,n,Non-co-operator.
8,Asādhtyā,a,Unaccomplished.
8,Asādhanar,a,Impossible to be done.
8,Asādhan garānā,v,Non-perform.
8,Asādhāran,a,Uncommon; extra-ordinary; unusual; specific; distinctive.
8,Asādhāranami,n,Uncommonness.
9,Asādhu,a,Dishonest; bad; unjust.
9,Asādhumi,n,Dishonesty; unjusty [unjustness].
9,Asādhubhās,n,Slang language.
9,Asādhya,a,Unattainable.
9,Asādhya-sādhanā,n,Making the impossible possible.
9,Asāmājik,a,Unsocial; unmannerly.
9,Asi,n,Sword.
9,Asijhud-dha,n,Sword fight.
9,Asug,n,Disease; ill; unhappy.
9,Asug-ahnā,v,Fall ill; be ill.
9,Asugkyā,n / a,Sick; patient / ill; unwell; sickly; thin; slender; lean.
9,Asugkyā-ghar,n,Hospital.
9,Asugat-pasyā,a,Fallen sick; ailing; diseased.
9,Asugkyā ābichchon,n,Sick-bed.
9,Asugrenānā,v,Diagnose.
9,Asugattun pādal pānā,v,Recover from ill; cure from disease.
9,Asugat-parānā,v,Fall ill
9,Asugarlakkhan,n,Symptoms of a disease.
9,Asug chābaree,n,Treatment of a disease.
9,Asugar,a,Causing a disease; pathogenic.
9,Asuge,a,Caused or produced by an illness.
9,Asugthamani,n,Prevention of a disease.
9,Asugpādal,a,Cured; recovered from a disease.
9,Asugpādal-garānā,v,Cure; recover.
9,"Asug jantranā, asugpirā",n,Suffering or pain of ill or disease.
9,Asugee,a,Unhappy.
9,Asubidhā,n,Disadvantage; inconvenience; drawback.
9,Asur,n,Demon; giant; monster.
9,Astra,n,Weapon; arms.
9,Astra garānā,v,Operate; perform an operation.
9,Astra banciyā,n,Weapons maker; armourer.
9,"Astra mārānā, astramelānā",v,Shoot; throw arms.
9,Astramārani,n,Discharge of weapons; shooting.
9,Astrachālani,n,Use of arms.
9,"Astra bodya, Astradactar",n,Surgeon.
9,Astra-chābaree,n,Surgery.
9,Astra dharani,n,Taking up of arms; bearing of arms.
9,Astradharānā,v,Take up arms; fight.
9,Astra dharayā,n / a,Army; soldier / armed; bearing arms.
9,Astrabidyā,n,Surgery.
9,Astraloi-kābānā,v,Operate (upon).
10,Astrālai-kābāni,n,Surgical operation.
10,Astraloi-kābāni bibhāg,n,Surgical department or ward.
10,Astraneyā,a,Disarmed; unarmed.
10,Astraghar,n,Magazine; arsenal.
10,Ahmā,a,Too big; large; huge; horrible.
10,Ahlā,n,Male of beast tribes; male beast.
10,Ahnā,v,To happen; grow; increase; fit.
10,Ahbha,v,Will be; shall be.
10,Ahbhal,a,May be; perhaps; possibly; doubtedly.
10,Ahbhalā,ad,Opposite side.
10,Ahbhalāndi,a,On the opposite side.
10,"Ay, Ahy",ind / ad,Yes; yea; just so. (n. truth; factful).
10,Ay-n ā-nay,a,Either... or...
10,Ahlen,ad,May be; perhaps; possibly.
10,"Ayi, oi",ind,Ho! Soho! (Used in addressing between husband & wife).
10,Ahankār,n,Pride; vanity; self importance.
10,Ahankāree,n,Proud; vain; haughty.
10,Ahank ār neiyā,a,Free from pride; without proud [pride].
10,Ahingsa,a,Non-violent; harmless.
10,Ahingsā,n,Non-violence; harmlessness.
10,Ahingsuk,a,Innocent; harmless.
10,Ah,ind,Yes; yea; oh!; alas!; ah!; wonderful!.
10,Ahjhānā,v,Request to do work.
10,Ahkchānā,v,Try to be got first.
10,Ahtthān,n,Origin; real; the truth.
10,Ahdhe,a,Used to be.
10,Ahdhe Ahdhe,-,In the right condition.
10,Ahlgā,n,Necktie (of animal).
10,Aha,ind,Sound of sudden remembering.
11,"Ā, āh",ind,"And; moreover; (indicates various prefixes like non-, not-, un-); conj. connecting word."
11,Āātdoye,a,Not washed hand.
11,Āi,v,Come.
11,Āin,n,Law; rule; regulation; ordinant [ordinance].
11,Āingarānā,v,Make law; enact a law; legislate.
11,Āin-sallādiyā,n,Counsel; legal advice.
11,Āin sudām,n,Rules and regulations.
11,Āinar,a,Legal; legitimate.
11,Āin garayā,n,Lawyer; legal practitioner.
11,Āin mate,ad,According to law; legally.
11,Āin mantrak,n,Ministry of law.
11,Āin montri,n,Law Minister.
11,Āin shāstra,n,Law book; law.
11,Āin sabhā,n,Legislative Assembly; Legislature.
11,"Āil, Ali",n,Ridge (of earth).
11,Āilom,a,Continuous/Always
11,"Āulatyā, āgalatyā",ad,At first.
11,Āulanā,v,Repeat; recite.
11,Āulani,n,Repetition.
11,Āuleyā,a,Repeated; recited.
11,Āulleyā,a,Unturned; not turned over.
11,Āuch,n,Hobby; desire; wish; fancy.
11,Āuchchyā,n,New moon day.
11,Āun,n,Fire.
11,Āunmas,n,Eighth month of the Chakma calendar.
11,Āoj,n,Hobby/Desire
11,Āk,v / n,Draw a picture / The first taste of eatable/takable thing.
11,Āk kadha,n,Preface; introductory word; preamble.
11,Ākyā,a,Drawn; painted; decorated.
11,Ākyā akyā ahye,a,Comparatively became separate.
11,Ākyāng,a,Habituated; practised; accustomed.
11,Ākyāng-garānā,v,Habituate; practise.
11,Ākyāngar,a,Practising; learning.
11,Ākkal,n,Common sense; knowledge; understanding; wisdom.
11,Āk-kalahnā,v / a,Come to one's sense; get knowledge / foremost; leading.
11,Ākkuri,a,Ancient; former; long ago.
12,Ākchuānā,v,Advance; go forward; proceed; take the lead.
12,Ākchueye,a,Advanced; proceeded; forwarded; aheaded; leaded/led.
12,Ākchuāni,n,The first share of any liquid refinement; protection.
12,Ākmuli,n,Leader; forerunner; pioneer. ad. at first; foremost; situated in the front.
12,Ākke,a,Previous; first.
12,Ākke jhānā,v,Go first; stand first.
12,Ākkoi,ad,First; first of all; advanced.
12,Ākkoi jhānā,v,Go advance; forward.
12,Ākkoukki,n,Race competition.
12,Ākbārānā,n,The act of greeting the heavenly foreparents.
12,Ākayā,a,Not told; not said; not disclosed.
12,Ākāpyā,a,Not cut; uncut.
12,Ākāmāchyā,a,Not bitten.
12,Ākāsh,n,Sky.
12,Ākinyā,a,Not purchased.
12,Ākirbyā,a,Not loved.
12,Ākirbyā gasyā,a,Not loved; not joked; not molested.
12,Ākutyā,a,Not cut into pieces.
12,Ākunyā,a,Not cut or made hole.
12,Ākudyā,a,Not footed; not stepped.
12,"Ākubyā, Akupyā",a,Not stitched; not posted; not arisen.
12,Ākul,n,Beyond of shore; beyond of way; sufferer.
12,Ākulat,a,Shoreless; lose of way; in distress.
12,Ākulyā,a,Not opened; closed.
12,Ākuj gasyā,a,Not prefaced.
12,Ākujyā,a,Not dug; not sowed.
12,Ākureye,a,Not gathered; not collected.
12,Ākuleye,a,Not landed; not shored.
12,Ākuluk gasyā,a,Not polluted.
12,Ākudu,-,Where are you? Where are the more?
12,Ākriti,n,Shape; behaviour.
12,Ākejsyā,a,Not polished.
12,Ākenā ubureyā,a,Not revenged; not retaliated.
12,Ākochpeyā,a,Not loved; not loving.
12,Ākol bājeye,a,Quarrelled.
12,Ākolā gasyā,a,Not cooked.
13,Ākojsyā,a,Not folded.
13,Ākobul kheyā,a,Not promised.
13,Ākodhādiyā,a,Not given words.
13,Ākomeyā,a,Not reduced.
13,Āg,n,Preservation.
13,Āgkadhā,n,Preface; introductory word; Preamble.
13,Āgkyā,a,Drawn; painted.
13,Āggari,a,Reserved; preserved.
13,Āg garithanā,v,Reserve.
13,Āgang,a,I am in; Yes; I am.
13,Āgangeyā,a,Not proceeded.
13,Āgach,a,Are you in?
13,Āgachcheyā,a,Not rolled down.
13,Āgchānā,v,Wish for happiness or favour.
13,Āgjabāni,n,Forward; preface.
13,Āgajar gasyā,a,Not clusted [clustered]; not bundled.
13,Āgajheyā,a,Not handed over; not persuaded.
13,Āgandagul gasyā,a,Without quarrel.
13,Āganā,a,Not counted; uncalculated.
13,Āgani,n,Drawing.
13,Āgapatti,n,Guidence [Guidance].
13,Āganishāl,n,Latrine; toilet.
13,Āgapyā,a,Not reproached.
13,Āgbajāni,n,First selection; first choice.
13,Āgbājānā,v,First choice; first select; preface.
13,Āgbāji,a,Select one's among.
13,Āgbāroni,n,Welcome; a kind of greeting.
13,Āgbarhi ānānā,v,To go toward and receive with politeness.
13,Āgampeyā,a,Not loved; without loved.
13,Āgmoli,n,Fore runner; leader; guider; a precedent.
13,Āgar,a,Former; of the old days.
13,Āgartuli,n,Armlet.
13,Āgaram gasyā,a,Not heated.
13,Āgarang bāgarang,a,Zigzag; illegible.
13,Āgarāch gasyā,a,Not prepared for swallow; not eclipsed.
13,Āgal,n,Common scence [sense]; knowledge; conception.
13,Āgalatyā,ad,At first; the foremost.
13,Āgalyā,a,Not melted.
14,Āgāsyāy pasyā,a,Not laid down; without lying down.
14,Āgāsyāy felyā,a,Not laid flat; without lying flat.
14,Āgah chān,a,Similar to before.
14,Āgah pirhee,n,Former generations; ancestors.
14,Āgang,a,"Yes, present; I am present."
14,Āgarhdyā,a,Not stratified.
14,Āgā,n,Tip; summit; vertex; head.
14,Āgā āgi,a,Soon; hurry.
14,Āgā ugā,n,Advance; earnest money.
14,Āgāj,n,Sky.
14,Āgājā,n,A kind of skin itching disease.
14,Āgātyā,a,Difficult; serious; severe.
14,Āgādhtyā,a,Not bath; without bath.
14,Āgānā,v / a,Draw; paint; decorate / disgusted.
14,Āgāb,n / a,Preservation; reservation; protection / illiterate.
14,Āgāb jhār,n,Deep jungle; dens.
14,Āgābchāgālā,n,Protected area; horror zone.
14,Āgār,n / a,Figure; shape; form; handle of an axe / too much; over; excess; extreme.
14,Āgāre,n / ad,Upstream / by hint.
14,Āgirgireyā,a,Not trembled; without trembling.
14,Āgilyā,a,Not swallowed.
14,Āguch-cheyā,a,Not orderly arranged.
14,Āgulimāchyā,a,"Not [meaning likely ""not touched/moved by fingers""]."
14,Āgujeiyā,a,Not inserted.
14,Āgulānā,a,Pulling anything excess for oneself; greedy.
14,Āgulyā,a,Not mingled; shot; without shooting.
14,Āgumor bhāngyā,a,Not published; not disclosed; remain without publication.
14,Āge,ad,At first; before; forward; advanced; in formertimes.
14,Āge age,ad,In front.
14,Āge age jhānā,v,Go ahead; lead; move forward.
14,Āgepije,ad,Before and after; sooner or later.
14,Āge pije bhābanā,v,Look before and after.
14,Āge bhāge,ad,In advanced; first; at the out set.
14,Āgejāmachyā,a,Not satisfied; not indulged.
14,Āgetdyā,a,Not knotted; not tangled.
14,Āgeldyā,a,Not slanged; not abused; not reproached.
14,Āgemdābānyā,a,Without making screen.
15,Āgelkheyā,a,Without abusing; without reproaching.
15,Āpojeidyā,a,Not bestowed; not handed over.
15,Āgorkheyā,a,Without rolling down.
15,Āgoldyā,a,Without scoring a goal.
15,Āgonmās,n,The eight month of Chakma calender.
15,Āgonmāsyā,a,Of the Agonmas; the eight month of Chakma calender.
15,Āghang,n,I am; I am in.
15,Āghah,Pl,Are you in?
15,Āghajyā,a,Not rubbed.
15,Āgadeyā,a,Not happened.
15,Āghan,-,They are in.
15,Āghaneyā,a,Not approached.
15,Āghartārā,n,A holy religious book of the Chakmas.
15,Āghāj kusum,n,Aerial castle; visionary object.
15,Āghājtār,n,Aerial.
15,Āghajpādāl,n,Heaven and hell; quite difference.
15,Āghāj padh,n,Sky; air route.
15,Āghāja-bāj,n,Bolt.
15,Āghājbānee,n,Aerial voice; All India Radio.
15,Āghāni,a,Disgusting.
15,Āghāni ājhā,n,Hoping against hope.
15,Āghi,v & a,We are.
15,Āghineyā,a,Without hate.
15,Āghilepdyā,a,Not covered; without covering.
15,Āghun,n,Fire; a. a firy [fiery] temper; violently angry.
15,Āghunjalānā,v,Make fire; light a fire.
15,Āghun darānā,v,Catch a fire; light a fire.
15,Āghun mārānā,v,Put out a fire; Put off a fire.
15,Āghunar,a,Firy [Fiery]; of fire.
15,Āghunyā,a,Fired; n. a slang reproach.
15,Āghunaddyā,a,Kept in fire; under fire.
